q p curve
3.383306 1.952788 2
3.338334 1.932529 2
3.236683 1.896886 2
3.106075 1.853980 2
2.986434 1.817038 2
2.912759 1.798097 2
2.903185 1.802545 2
2.959193 1.829013 2
3.066905 1.870000 2
3.196642 1.912647 2
3.310086 1.943702 2
3.375438 1.955945 2
3.376332 1.948400 2
3.311879 1.922845 2
3.197444 1.883778 2
3.065818 1.841201 2
2.957406 1.808825 2
2.902550 1.796917 2
2.913902 1.808639 2
2.988217 1.840712 2
3.106612 1.883758 2
3.235388 1.924030 2
3.336632 1.949656 2
3.382955 1.955668 2
3.362933 1.942257 2
3.280458 1.911811 2
3.156477 1.870296 2
3.027891 1.829437 2
2.933688 1.802645 2
2.898845 1.798063 2
2.930810 1.816744 2
3.021617 1.853510 2
3.147359 1.897233 2
3.271386 1.933939 2
3.357753 1.953678 2
3.383959 1.953506 2
3.343379 1.934445 2
3.244896 1.899658 2
3.115047 1.856861 2
2.993404 1.819078 2
2.915834 1.798663 2
2.901697 1.801499 2
2.953519 1.826641 2
3.058497 1.867006 2
3.187933 1.909996 2
3.303636 1.942152 2
3.372947 1.955751 2
3.378408 1.949509 2
3.318099 1.925080 2
3.206193 1.886683 2
3.074442 1.843916 2
2.963308 1.810451 2
2.904227 1.796976 2
2.911025 1.807132 2
2.981484 1.838054 2
3.097820 1.880765 2
3.227133 1.921663 2
3.331284 1.948520 2
3.381866 1.955891 2
3.366393 1.943742 2
3.287697 1.914322 2
3.165498 1.873248 2
3.035908 1.831896 2
2.938378 1.803810 2
2.899094 1.797616 2
2.926611 1.814815 2
3.014001 1.850644 2
3.138442 1.894339 2
3.263821 1.931916 2
3.353636 1.952967 2
3.384300 1.954136 2
3.348150 1.936286 2
3.252959 1.902390 2
3.124059 1.859766 2
3.000583 1.821200 2
2.919206 1.799338 2
2.900518 1.800558 2
2.948096 1.824343 2
3.050206 1.864024 2
3.179158 1.907293 2
3.296966 1.940513 2
3.370158 1.955464 2
3.380176 1.950535 2
3.324074 1.927248 2
3.214848 1.889566 2
3.083165 1.846676 2
2.969457 1.812171 2
2.906212 1.797146 2
2.908447 1.805722 2
2.974969 1.835451 2
3.089091 1.877764 2
3.218758 1.919229 2
3.325682 1.947293 2
3.380468 1.956024 2
3.369555 1.945148 2
3.294728 1.916778 2
3.174483 1.876198 2
3.044077 1.834418 2
2.943343 1.805079 2
2.899655 1.797278 2
2.922694 1.812973 2
3.006561 1.847816 2
3.129531 1.891417 2
3.256086 1.929813 2
3.349241 1.952163 2
3.384328 1.954678 2
3.352643 1.938052 2
3.260860 1.905080 2
3.133096 1.862689 2
3.007962 1.823402 2
2.922874 1.800122 2
2.899649 1.799723 2
2.942930 1.822119 2
3.042042 1.861059 2
3.170330 1.904541 2
3.290085 1.938789 2
3.367073 1.955086 2
3.381633 1.951475 2
3.329797 1.929347 2
3.223394 1.892423 2
3.091975 1.849475 2
2.975844 1.813984 2
2.908504 1.797426 2
2.906170 1.804412 2
2.968679 1.832909 2
3.080435 1.874759 2
3.210275 1.916730 2
3.319835 1.945975 2
3.378763 1.956066 2
3.372418 1.946471 2
3.301544 1.919174 2
3.183419 1.879141 2
3.052389 1.837000 2
2.948577 1.806450 2
2.900528 1.797051 2
2.919062 1.811223 2
2.999306 1.845030 2
3.120636 1.888469 2
3.248192 1.927634 2
3.344573 1.951266 2
3.384043 1.955132 2
3.356854 1.939741 2
3.268590 1.907724 2
3.142147 1.865626 2
3.015533 1.825681 2
2.926832 1.801014 2
2.899091 1.798995 2
2.938026 1.819974 2
3.034018 1.858116 2
3.161461 1.901744 2
3.283001 1.936978 2
3.363695 1.954614 2
3.382781 1.952329 2
3.335263 1.931377 2
3.231821 1.895250 2
3.100857 1.852310 2
2.982464 1.815886 2
2.911102 1.797818 2
2.904197 1.803203 2
2.962621 1.830430 2
3.071866 1.871754 2
3.201695 1.914169 2
3.313749 1.944566 2
3.376753 1.956016 2
3.374978 1.947713 2
3.308136 1.921510 2
3.192294 1.882072 2
3.060831 1.839637 2
2.954075 1.807920 2
2.901714 1.796934 2
2.915719 1.809564 2
2.992247 1.842290 2
3.111772 1.885500 2
3.240150 1.925380 2
3.339637 1.950276 2
3.383447 1.955497 2
3.360776 1.941352 2
3.276137 1.910319 2
3.151196 1.868572 2
3.023284 1.828032 2
2.931077 1.802013 2
2.898844 1.798375 2
2.933391 1.817911 2
3.026143 1.855200 2
4.813065 4.063065 3
0.809262 3.589150 3
3.560693 3.832935 3
6.032235 3.997952 3
2.038780 3.412411 3
4.894957 4.044100 3
0.819233 3.562826 3
3.467650 3.788711 3
5.894296 3.998966 3
1.802685 3.373030 3
4.614405 4.015283 3
0.502781 3.694563 3
2.955957 3.620082 3
5.538515 4.028423 3
1.442040 3.391078 3
4.278178 3.991749 3
0.256449 3.826878 3
2.696344 3.555808 3
5.430774 4.053518 3
1.402313 3.417525 3
4.317401 4.016820 3
0.359637 3.802923 3
2.951401 3.647404 3
5.677014 4.062406 3
1.717604 3.412397 3
4.689840 4.063195 3
0.713693 3.638471 3
3.463578 3.808549 3
5.992559 4.013836 3
2.022515 3.417367 3
4.908277 4.052398 3
0.857997 3.555200 3
3.562605 3.823655 3
5.987227 3.992230 3
1.933595 3.388527 3
4.755435 4.026769 3
0.644545 3.628489 3
3.160752 3.684366 3
5.663444 4.016959 3
1.550724 3.374844 3
4.370067 3.997681 3
0.309149 3.795268 3
2.732318 3.560376 3
5.428466 4.045395 3
1.373528 3.413596 3
4.253407 3.999718 3
0.279834 3.830833 3
2.796746 3.594998 3
5.548903 4.063557 3
1.568114 3.413838 3
4.537579 4.052599 3
0.580592 3.704546 3
3.297514 3.759802 3
5.904208 4.035745 3
1.948268 3.416411 3
4.870151 4.059482 3
0.846664 3.567964 3
3.585839 3.836500 3
6.030938 3.992429 3
2.015622 3.404633 3
4.855489 4.037532 3
0.763045 3.581196 3
3.360118 3.751307 3
5.805587 4.005842 3
1.696553 3.368371 3
4.507545 4.007560 3
