x px
0.0611632102 -0.0365697359
0.0398793803 -0.0511367500
-0.0045710748 -0.0373109232
-0.0478353565 -0.0012140430
-0.0613177828 0.0357375960
-0.0409131955 0.0511159876
0.0031092837 0.0381054409
0.0468980044 0.0024296565
0.0614385899 -0.0348853246
0.0419283047 -0.0510706316
-0.0016466744 -0.0388768752
-0.0459329462 -0.0036461453
-0.0615307523 0.0340119065
-0.0429206818 0.0509990008
0.0001844809 0.0396291849
0.0449368114 0.0048594270
0.0615944650 -0.0331173416
0.0438920947 -0.0509019134
0.0012764935 -0.0403613795
-0.0439127940 -0.0060711257
-0.0616231141 0.0322036645
-0.0448434905 0.0507796178
-0.0027351277 0.0410696309
0.0428622155 0.0072812449
0.0616220917 -0.0312697017
0.0457692587 -0.0506303570
0.0041905388 -0.0417573866
-0.0417831262 -0.0084864330
-0.0615914720 0.0303156559
-0.0466738051 0.0504556318
-0.0056416997 0.0424232413
0.0406769210 0.0096863901
0.0615249599 -0.0293439546
0.0475558074 -0.0502550227
0.0070871326 -0.0430643339
-0.0395460638 -0.0108819768
-0.0614276741 0.0283534755
-0.0484112905 0.0500277122
-0.0085262886 0.0436836010
0.0383899203 0.0120707014
0.0612999513 -0.0273445493
0.0492442844 -0.0497747972
0.0099578820 -0.0442792519
-0.0372083285 -0.0132502930
-0.0611361647 0.0263198580
-0.0500520867 0.0494957876
-0.0113804065 0.0448495741
0.0360047387 0.0144226226
0.0609406654 -0.0252785422
0.0508330409 -0.0491906658
0.0127936401 -0.0453969953
-0.0347795890 -0.0155861434
-0.0607143645 0.0242209030
-0.0515902962 0.0488601426
-0.0141959958 0.0459193536
0.0335314698 0.0167367375
0.0604525351 -0.0231496820
0.0523199967 -0.0485038655
0.0155863517 -0.0464162448
-0.0322645296 -0.0178773772
-0.0601583573 0.0220644659
-0.0530229133 0.0481223002
-0.0169647690 0.0468895581
0.0309797914 0.0190072572
0.0598335079 -0.0209653193
0.0537013117 -0.0477158964
0.0183292619 -0.0473367420
-0.0296753906 -0.0201212989
-0.0594742559 0.0198548302
-0.0543501892 0.0472845347
-0.0196795611 0.0477588080
0.0283553747 0.0212229454
0.0590823200 -0.0187331787
0.0549728052 -0.0468288381
0.0210158849 -0.0481570349
-0.0270208805 -0.0223117765
-0.0586602054 0.0175999863
-0.0555704877 0.0463490729
-0.0223356615 0.0485284391
0.0256707051 0.0233834882
0.0702597899 -0.0049039173
0.0855102418 -0.0533405339
0.0632503574 -0.0734923503
0.0118187817 -0.0608798186
-0.0511108438 -0.0181113683
-0.0844207579 0.0358668035
-0.0763460554 0.0691338526
-0.0361762562 0.0700310091
0.0262329407 0.0389039954
0.0760145221 -0.0144344559
0.0840298393 -0.0591026537
0.0563147300 -0.0736316145
0.0008374546 -0.0554911138
-0.0598933932 -0.0086925280
-0.0857129970 0.0436806238
-0.0715562910 0.0716334286
-0.0265343767 0.0669124920
0.0370282135 0.0307147130
0.0804291824 -0.0236682815
0.0815302857 -0.0639344479
0.0485383890 -0.0728129969
-0.0103958801 -0.0492062443
-0.0674894716 0.0009197202
-0.0858024208 0.0506925716
-0.0658637626 0.0731502703
-0.0162407335 0.0628416556
0.0471683263 0.0219039121
0.0835193772 -0.0324230009
0.0780561321 -0.0678124834
0.0399556761 -0.0710434904
-0.0216397849 -0.0420827968
-0.0737931031 0.0105170512
-0.0847700314 0.0568293930
-0.0592896276 0.0736913206
-0.0054248294 0.0578305503
0.0563945021 0.0126256703
0.0853256391 -0.0405397929
0.0736509228 -0.0707185620
0.0306090070 -0.0683186033
-0.0326257593 -0.0341886511
-0.0787620860 0.0198966155
-0.0826847830 0.0620493947
-0.0518563369 0.0732672980
0.0057315517 0.0519121311
0.0644996485 0.0030692035
0.0859064679 -0.0478936143
0.0683275523 -0.0726415144
0.0205724081 -0.0646413909
-0.0430697037 -0.0256173319
-0.0823986356 0.0288692788
-0.0796087707 0.0663247151
-0.0436022032 0.0718906315
0.0170025713 0.0451294895
0.0713477669 -0.0065587151
0.0853296480 -0.0543989861
0.0621150912 -0.0735848158
0.0099533879 -0.0600163707
-0.0527019417 -0.0165101270
-0.0847333464 0.0372661084
-0.0755845927 0.0696346057
-0.0345656781 0.0695623998
0.0281281369 0.0375419913
0.0768704938 -0.0160527908
0.0836700325 -0.0600025370
0.0550346500 -0.0735591496
-0.0010870977 -0.0544693656
-0.0612908649 -0.0070434678
-0.0858108954 0.0449492598
-0.0706404230 0.0719652186
-0.0248034456 0.0662781560
0.0388305028 0.0292368496
0.0810545061 -0.0252166739
0.0810002718 -0.0646715242
0.0471151083 -0.0725754658
-0.0123403406 -0.0480366611
-0.0686699030 0.0025808918
-0.0857023435 0.0518142021
-0.0647922440 0.0733125819
-0.0144095168 0.0620451150
0.0488307479 0.0203336431
