q p orbit
2.055796 1.973484 2
0.427780 1.897249 2
5.441190 2.390278 2
3.911494 2.536107 2
1.783809 1.912151 2
0.110231 1.914962 2
4.870571 2.539726 2
3.162997 2.368445 2
1.434774 1.897548 2
6.183778 1.981326 2
4.512474 2.547599 2
2.398013 2.093423 2
0.871376 1.905745 2
5.876021 2.154586 2
4.242168 2.548413 2
1.999801 1.956897 2
0.350677 1.897512 2
5.325594 2.437744 2
3.802672 2.523264 2
1.731154 1.906380 2
0.068949 1.922832 2
4.786986 2.545371 2
2.995800 2.312551 2
1.344385 1.899118 2
6.139770 2.002972 2
4.461910 2.547123 2
2.299687 2.057201 2
0.756852 1.903894 2
5.790935 2.205143 2
4.181490 2.548623 2
1.947972 1.943108 2
0.283049 1.899210 2
5.210915 2.476156 2
3.678175 2.503043 2
1.674218 1.902024 2
0.030188 1.932417 2
4.712504 2.547918 2
2.835713 2.255829 2
1.245673 1.901519 2
6.091216 2.028794 2
4.413246 2.546943 2
2.214796 2.026682 2
0.647918 1.901322 2
5.695816 2.260063 2
4.113150 2.547802 2
1.898564 1.931626 2
0.223598 1.902305 2
5.099908 2.504872 2
3.537300 2.473595 2
1.611178 1.899032 2
6.275469 1.944064 2
4.645503 2.548633 2
2.686615 2.201148 2
1.138720 1.904071 2
6.036296 2.059730 2
4.364695 2.547151 2
2.141159 2.001203 2
0.547469 1.898964 2
5.591794 2.316840 2
4.035303 2.545073 2
1.850232 1.922183 2
0.171520 1.906765 2
4.996257 2.524462 2
3.383356 2.434469 2
1.541308 1.897442 2
6.237379 1.958040 2
4.585090 2.548375 2
2.552204 2.151014 2
1.025736 1.905830 2
5.973585 2.096386 2
4.314437 2.547642 2
2.076093 1.979849 2
0.456252 1.897476 2
5.480017 2.372505 2
3.945064 2.539129 2
1.800945 1.914430 2
0.124987 1.912645 2
4.900897 2.536833 2
3.219685 2.386377 2
1.463262 1.897287 2
6.197797 1.974869 2
4.530159 2.547796 2
2.434378 2.106956 2
0.910455 1.906053 2
5.902319 2.138853 2
4.261194 2.548234 2
2.018126 1.962150 2
0.375566 1.897263 2
5.364632 2.422664 2
3.841066 2.528322 2
1.749315 1.908167 2
0.082531 1.919998 2
4.814156 2.543889 2
3.051808 2.331720 2
4.437166 2.547166 3
2.256505 2.041662 3
0.703049 1.902755 3
5.746217 2.231337 3
4.150051 2.548538 3
1.925210 1.937780 3
0.255889 1.900551 3
5.161885 2.489936 3
3.619120 2.491567 3
1.648188 1.900724 3
0.014705 1.937132 3
4.685469 2.548493 3
2.776747 2.234429 3
1.205677 1.902608 3
6.071388 2.039954 3
4.395913 2.547156 3
2.188554 2.017589 3
0.613244 1.900555 3
5.662176 2.278950 3
4.088892 2.547288 3
1.883589 1.928685 3
0.207715 1.903628 3
5.069477 2.511407 3
3.494965 2.463565 3
1.592550 1.898578 3
6.265593 1.947701 3
4.630262 2.548773 3
2.653486 2.188902 3
1.112820 1.904665 3
6.022722 2.067718 3
4.354204 2.547414 3
2.127982 1.996907 3
0.529782 1.898699 3
5.571827 2.327313 3
4.020189 2.544396 3
1.842314 1.920993 3
0.164537 1.907703 3
4.982808 2.526611 3
3.362091 2.428620 3
1.531797 1.897460 3
6.232969 1.960030 3
4.579699 2.548481 3
2.541466 2.147065 3
1.016260 1.905989 3
5.968314 2.099637 3
4.311070 2.547849 3
2.073360 1.979126 3
0.453169 1.897548 3
5.476249 2.374345 3
3.942252 2.538983 3
1.800142 1.914493 3
0.125168 1.912816 3
4.902128 2.536801 3
3.222495 2.387303 3
1.464973 1.897382 3
6.199124 1.974485 3
4.532958 2.547992 3
2.441393 2.109651 3
0.918194 1.906168 3
5.907648 2.135782 3
4.265695 2.548347 3
2.023808 1.963974 3
0.384195 1.897331 3
5.378173 2.417279 3
3.854352 2.530020 3
1.756270 1.909074 3
0.088747 1.918997 3
4.827678 2.543134 3
3.079750 2.341177 3
1.391409 1.898281 3
6.163056 1.991477 3
4.488811 2.547527 3
2.352126 2.076526 3
0.820001 1.905148 3
5.839712 2.176363 3
4.216738 2.548728 3
1.978042 1.951075 3
0.322619 1.898147 3
5.280013 2.454152 3
3.755806 2.516398 3
1.709944 1.904703 3
0.054656 1.926325 3
4.759965 2.546654 3
2.939458 2.292939 3
1.311533 1.899964 3
6.124119 2.011284 3
4.446447 2.547206 3
2.272876 2.047564 3
0.723909 1.903244 3
5.764085 2.220962 3
4.162847 2.548659 3
1.934663 1.940022 3
0.267413 1.899999 3
5.183147 2.484194 3
3.645405 2.496853 3
1.659958 1.901340 3
0.021930 1.934992 3
4.698465 2.548305 3
2.805565 2.244947 3
1.225673 1.902110 3
6.081522 2.034310 3
4.405119 2.547133 3
2.203020 2.022647 3
0.632757 1.901032 3
5.681499 2.268199 3
4.103135 2.547684 3
1.892808 1.930586 3
0.218001 1.902855 3
5.089649 2.507195 3
3.523523 2.470430 3
1.605396 1.898969 3
6.272811 1.945197 3
4.642173 2.548776 3
2.680109 2.198796 3
1.133966 1.904249 3
6.034074 2.061159 3
4.363615 2.547337 3
2.140955 2.001261 3
0.547852 1.899063 3
5.592521 2.316539 3
4.036282 2.545226 3
1.851568 1.922601 3
0.173806 1.906704 3
5.001636 2.523696 3
3.392416 2.437004 3
1.545848 1.897619 3
6.240321 1.957109 3
4.590616 2.548574 3
2.565425 2.156030 3
1.038011 1.905783 3
5.980979 2.092149 3
4.320861 2.547742 3
2.085084 1.982859 3
0.469634 1.897730 3
5.497918 2.364102 3
3.960507 2.540463 3
1.809685 1.915849 3
0.133682 1.911582 3
4.919624 2.534898 3
3.254114 2.397024 3
1.480474 1.897311 3
6.206844 1.971050 3
4.543129 2.548105 3
2.462754 2.117623 3
0.940150 1.906236 3
5.921786 2.127332 3
4.276082 2.548237 3
2.034489 1.967146 3
0.398923 1.897292 3
5.400140 2.408172 3
3.874864 2.532384 3
1.766244 1.910192 3
0.096652 1.917522 3
4.843726 2.542000 3
3.111609 2.351762 3
1.408408 1.898003 3
6.171340 1.987448 3
4.498493 2.547622 3
2.371177 2.083561 3
0.841849 1.905469 3
5.855556 2.166920 3
4.228059 2.548668 3
1.988013 1.953783 3
0.335782 1.897875 3
5.301868 2.446495 3
3.778802 2.519907 3
1.720560 1.905590 3
0.062111 1.924581 3
4.774509 2.546060 3
2.970319 2.303755 3
1.329886 1.899535 3
6.133094 2.006602 3
4.455782 2.547259 3
2.289721 2.053670 3
0.745023 1.903718 3
5.781609 2.210718 3
4.175355 2.548736 3
1.944193 1.942344 3
0.279226 1.899497 3
5.204575 2.478097 3
6.219942 1.859942 4
4.005050 2.418852 4
1.028835 1.631682 4
5.024261 2.296132 4
2.122876 1.896225 4
6.275630 1.843909 4
4.130494 2.444477 4
1.211332 1.666300 4
5.202362 2.213541 4
2.240150 1.917444 4
0.047452 1.824886 4
4.230211 2.460025 4
1.374691 1.707482 4
5.391479 2.122842 4
2.390867 1.948354 4
0.106836 1.801260 4
4.312803 2.468044 4
1.511982 1.746742 4
5.573800 2.041613 4
2.582809 1.994868 4
0.175630 1.771986 4
4.386521 2.470097 4
1.625198 1.780659 4
5.737843 1.980159 4
2.820289 2.062202 4
0.259609 1.736400 4
4.458361 2.466476 4
1.718486 1.808279 4
5.876129 1.938565 4
3.091287 2.147563 4
0.363807 1.696088 4
4.534893 2.456591 4
1.798367 1.830500 4
5.988998 1.910891 4
3.369025 2.237619 4
0.492972 1.655703 4
4.622745 2.438594 4
1.871139 1.848555 4
6.079549 1.891405 4
3.620430 2.315948 4
0.648074 1.624773 4
4.728102 2.409504 4
1.943376 1.864024 4
6.153132 1.875802 4
3.828869 2.375231 4
0.825059 1.614467 4
4.856450 2.365259 4
2.021968 1.878689 4
6.215293 1.861142 4
3.993539 2.416240 4
1.013663 1.629515 4
5.010790 2.302062 4
2.114583 1.894785 4
6.271254 1.845287 4
4.121520 2.442840 4
1.197289 1.663148 4
5.187492 2.220653 4
2.229663 1.915463 4
0.042953 1.826559 4
4.222965 2.459084 4
1.362531 1.704173 4
5.376352 2.129988 4
2.377355 1.945383 4
0.101796 1.803351 4
4.306602 2.467632 4
1.501900 1.743764 4
5.559717 2.047467 4
2.565711 1.990409 4
0.169629 1.774568 4
4.380776 2.470141 4
1.616948 1.778180 4
5.725624 1.984286 4
2.799795 2.056043 4
0.252210 1.739456 4
4.452515 2.466980 4
1.711573 1.806273 4
5.865979 1.941308 4
3.068788 2.140288 4
0.354557 1.699426 4
4.528419 2.457654 4
1.792321 1.828897 4
5.980859 1.912736 4
3.347442 2.230683 4
0.481683 1.658732 4
4.615154 2.440392 4
1.865410 1.847221 4
6.072970 1.892779 4
3.601687 2.310316 4
0.634689 1.626634 4
4.718842 2.412348 4
1.937440 1.862841 4
6.147737 1.876986 4
3.813882 2.371208 4
0.810310 1.614346 4
4.845246 2.369454 4
2.015270 1.877494 4
6.210603 1.862334 4
3.981786 2.413533 4
0.998451 1.627469 4
4.997462 2.307871 4
2.106433 1.893373 4
6.266871 1.846646 4
4.112380 2.441139 4
1.183131 1.660043 4
5.172711 2.227696 4
2.219388 1.913540 4
0.038480 1.828203 4
4.215602 2.458093 4
1.350193 1.700849 4
5.361179 2.137194 4
2.364099 1.942508 4
0.096812 1.805406 4
4.300343 2.467183 4
1.491666 1.740752 4
5.545526 2.053450 4
2.548924 1.986090 4
0.163725 1.777108 4
4.375016 2.470149 4
1.608564 1.775659 4
5.713230 1.988548 4
2.779525 2.050007 4
0.244934 1.742481 4
4.446695 2.467445 4
1.704572 1.804233 4
5.855667 1.944143 4
3.046368 2.133059 4
0.345472 1.702754 4
4.522017 2.458666 4
1.786225 1.827265 4
5.972571 1.914635 4
3.325688 2.223670 4
0.470560 1.661816 4
4.607670 2.442121 4
1.859672 1.845870 4
6.066279 1.894179 4
3.582665 2.304558 4
0.621456 1.628626 4
4.709732 2.415095 4
1.931542 1.861652 4
6.142266 1.878178 4
3.798607 2.367066 4
0.795646 1.614395 4
4.834211 2.373527 4
2.008656 1.876307 4
6.205869 1.863519 4
3.969788 2.410731 4
0.983213 1.625551 4
4.984284 2.313558 4
2.098422 1.891989 4
6.262480 1.847988 4
4.103067 2.439370 4
1.168860 1.656990 4
5.158024 2.234666 4
2.209319 1.911673 4
0.034028 1.829819 4
4.208118 2.457051 4
1.337679 1.697515 4
5.345967 2.144450 4
2.351098 1.939726 4
0.091883 1.807426 4
4.294021 2.466696 4
1.481276 1.737709 4
5.531234 2.059557 4
2.532446 1.981906 4
0.157915 1.779605 4
4.369237 2.470120 4
1.600040 1.773094 4
5.700664 1.992946 4
2.759485 2.044098 4
0.237780 1.745474 4
4.440897 2.467873 4
1.697481 1.802158 4
5.845194 1.947073 4
3.024048 2.125886 4
0.336552 1.706070 4
4.515685 2.459629 4
1.780077 1.825605 4
5.964132 1.916591 4
3.303772 2.216587 4
0.459600 1.664948 4
